ticket_id,ticket_text,issue_type,urgency_level,product,cleaned_text,text_length,word_count,sentiment,tokens,processed_text
1,Payment issue for my SmartWatch V2. I was underbilled for order #29224.,Billing Problem,Medium,SmartWatch V2,payment issue for my smartwatch v . i was underbilled for order .,65,13,0.0,"['payment', 'issue', 'smartwatch', 'underbilled', 'order']",payment issue smartwatch underbilled order
2,"Can you tell me more about the UltraClean Vacuum warranty? Also, is it available in white?",General Inquiry,Medium,UltraClean Vacuum,can you tell me more about the ultraclean vacuum warranty? also is it available in white?,89,16,0.22291666666666665,"['tell', 'ultraclean', 'vacuum', 'warranty', 'also', 'available', 'white']",tell ultraclean vacuum warranty also available white
3,I ordered SoundWave 300 but got EcoBreeze AC instead. My order number is #36824.,Wrong Item,Medium,SoundWave 300,i ordered soundwave but got ecobreeze ac instead. my order number is .,70,13,0.0,"['ordered', 'soundwave', 'got', 'ecobreeze', 'instead', 'order', 'number']",ordered soundwave got ecobreeze instead order number
4,Facing installation issue with PhotoSnap Cam. Setup fails at step 1.,Installation Issue,Low,PhotoSnap Cam,facing installation issue with photosnap cam. setup fails at step .,67,11,-0.5,"['facing', 'installation', 'issue', 'photosnap', 'cam', 'setup', 'fails', 'step']",facing installation issue photosnap cam setup fails step
5,"Order #30903 for Vision LED TV is 13 days late. Ordered on 03 March. Also, I contacted support on 03 March but got no response.",Late Delivery,Medium,Vision LED TV,order for vision led tv is days late. ordered on march. also i contacted support on march but got no response.,110,21,-0.3,"['order', 'vision', 'led', 'day', 'late', 'ordered', 'march', 'also', 'contacted', 'support', 'march', 'got', 'response']",order vision led day late ordered march also contacted support march got response
6,"Can you tell me more about the PhotoSnap Cam warranty? Also, is it available in red?",General Inquiry,Medium,PhotoSnap Cam,can you tell me more about the photosnap cam warranty? also is it available in red?,83,16,0.3,"['tell', 'photosnap', 'cam', 'warranty', 'also', 'available', 'red']",tell photosnap cam warranty also available red
7, is malfunction. It stopped working after just 7 days.,Product Defect,Low,EcoBreeze AC,is malfunction. it stopped working after just days.,51,8,0.0,"['malfunction', 'stopped', 'working', 'day']",malfunction stopped working day
8,"Facing installation issue with RoboChef Blender. Setup fails at step 3. Also, I contacted support on 17 March but got no response.",Installation Issue,High,RoboChef Blender,facing installation issue with robochef blender. setup fails at step . also i contacted support on march but got no response.,125,21,-0.5,"['facing', 'installation', 'issue', 'robochef', 'blender', 'setup', 'fails', 'step', 'also', 'contacted', 'support', 'march', 'got', 'response']",facing installation issue robochef blender setup fails step also contacted support march got response
9,Both my FitRun Treadmill and UltraClean Vacuum are error. Both giving issues.,Unknown,High,FitRun Treadmill,both my fitrun treadmill and ultraclean vacuum are error. both giving issues.,77,12,-0.008333333333333333,"['fitrun', 'treadmill', 'ultraclean', 'vacuum', 'error', 'giving', 'issue']",fitrun treadmill ultraclean vacuum error giving issue
10,,Product Defect,High,PhotoSnap Cam,,0,0,0.0,[],empty text
11,,Unknown,Medium,Vision LED TV,,0,0,0.0,[],empty text
12,Order #34285 placed on 18 March still not here.,Late Delivery,Medium,RoboChef Blender,order placed on march still not here.,37,7,0.0,"['order', 'placed', 'march', 'still']",order placed march still
13,Vision LED TV is no response. It stopped working after just 9 days.,Unknown,Medium,Vision LED TV,vision led tv is no response. it stopped working after just days.,65,12,0.0,"['vision', 'led', 'response', 'stopped', 'working', 'day']",vision led response stopped working day
14,"Both my PowerMax Battery and EcoBreeze AC are lost. Both giving issues. Also, I contacted support on 12 March but got no response.",Product Defect,High,PowerMax Battery,both my powermax battery and ecobreeze ac are lost. both giving issues. also i contacted support on march but got no response.,126,22,0.0,"['powermax', 'battery', 'ecobreeze', 'lost', 'giving', 'issue', 'also', 'contacted', 'support', 'march', 'got', 'response']",powermax battery ecobreeze lost giving issue also contacted support march got response
